,0
1682,DB02822
1683,DB02824
1684,DB02825
1685,DB02827
1686,DB02830
1687,DB02831
1688,DB02833
1689,DB02834
1690,DB02835
1691,DB02837
1692,DB02838
1693,DB02840
1694,DB02843
1695,DB02845
1696,DB02846
1697,DB02848
1698,DB02850
1699,DB02852
1700,DB02854
1701,DB02855
1702,DB02857
1703,DB02859
1704,DB02860
1705,DB02861
1706,DB02866
1707,DB02868
1708,DB02869
1709,DB02871
1710,DB02872
1711,DB02873
1712,DB02875
1713,DB02877
1714,DB02878
1715,DB02884
1716,DB02887
1717,DB02888
1718,DB02889
1719,DB02890
1720,DB02893
1721,DB02894
1722,DB02895
1723,DB02898
1724,DB02900
1725,DB02901
1726,DB02902
1727,DB02908
1728,DB02910
1729,DB02911
1730,DB02915
1731,DB02917
1732,DB02918
1733,DB02919
1734,DB02924
1735,DB02925
1736,DB02929
1737,DB02930
1738,DB02931
1739,DB02932
1740,DB02933
1741,DB02935
1742,DB02936
1743,DB02938
1744,DB02942
1745,DB02943
1746,DB02950
1747,DB02952
1748,DB02953
1749,DB02955
1750,DB02963
1751,DB02964
1752,DB02966
1753,DB02967
1754,DB02973
1755,DB02974
1756,DB02977
1757,DB02979
1758,DB02983
1759,DB02984
1760,DB02986
1761,DB02987
1762,DB02988
1763,DB02989
1764,DB02991
1765,DB02994
1766,DB02996
1767,DB02998
1768,DB02999
1769,DB03003
1770,DB03005
1771,DB03006
1772,DB03008
1773,DB03010
1774,DB03012
1775,DB03013
1776,DB03015
1777,DB03016
1778,DB03017
1779,DB03019
1780,DB03020
1781,DB03021
1782,DB03023
1783,DB03024
1784,DB03026
1785,DB03028
1786,DB03032
1787,DB03033
1788,DB03035
1789,DB03039
1790,DB03040
1791,DB03041
1792,DB03042
1793,DB03044
1794,DB03046
1795,DB03048
1796,DB03052
1797,DB03056
1798,DB03058
1799,DB03059
1800,DB03060
1801,DB03061
1802,DB03062
1803,DB03064
1804,DB03065
1805,DB03067
1806,DB03070
1807,DB03072
1808,DB03073
1809,DB03078
1810,DB03081
1811,DB03082
1812,DB03083
1813,DB03084
1814,DB03085
1815,DB03086
1816,DB03087
1817,DB03088
1818,DB03092
1819,DB03093
1820,DB03095
1821,DB03096
1822,DB03100
1823,DB03101
1824,DB03102
1825,DB03103
1826,DB03104
1827,DB03106
1828,DB03109
1829,DB03110
1830,DB03114
1831,DB03115
1832,DB03120
1833,DB03121
1834,DB03124
1835,DB03125
1836,DB03126
1837,DB03127
1838,DB03128
1839,DB03129
1840,DB03130
1841,DB03132
1842,DB03133
1843,DB03135
1844,DB03136
1845,DB03137
1846,DB03144
1847,DB03147
1848,DB03150
1849,DB03152
1850,DB03153
1851,DB03154
1852,DB03155
1853,DB03158
1854,DB03159
1855,DB03169
1856,DB03173
1857,DB03175
1858,DB03176
1859,DB03179
1860,DB03181
1861,DB03182
1862,DB03183
1863,DB03185
1864,DB03186
1865,DB03187
1866,DB03189
1867,DB03191
1868,DB03192
1869,DB03193
1870,DB03194
1871,DB03195
1872,DB03201
